modele,p,q,P,Q,AIC,BIC,LjungBox_p_12,LjungBox_p_24,MAE_validation,RMSE_validation,MAPE_validation
"SARIMA(3,1,1)(0,1,0)[12]",3,1,0,0,-261.251462594239,-250.15392406835846,0.039505417822630895,0.5874207607629898,159.99091015716036,200.89128041464804,0.7346223565652339
"SARIMA(3,1,2)(0,1,0)[12]",3,2,0,0,-259.256608145522,-245.93956191446537,0.03896717241088699,0.5846348395264833,155.82926747113734,197.0304263717505,0.7154866540195047
"SARIMA(0,1,3)(0,1,0)[12]",0,3,0,0,-256.53306918701537,-247.7142987094515,0.03772705748611334,0.5783717877802568,916.9940307444854,1022.1765665775882,4.382981424967325
"SARIMA(0,1,3)(1,1,0)[12]",0,3,1,0,-256.28827578783836,-245.90058856830976,0.07779409990638608,0.7247614810929193,993.028231468989,1094.7577471154461,4.758967988351537
"SARIMA(3,1,3)(0,1,0)[12]",3,3,0,0,-254.81678381824668,-239.3839354825099,0.039982592627715134,0.5899236090715967,949.0445669263345,1053.245949686651,4.5302504853066194
"SARIMA(1,1,3)(0,1,0)[12]",1,3,0,0,-254.57595062976952,-243.5524875328147,0.03815928415884153,0.5806540345392766,913.8901071822835,1019.8331099478303,4.366096828890415
"SARIMA(3,1,0)(0,1,1)[12]",3,0,0,1,-252.0318806785519,-241.7296656258198,0.009348576545458774,0.24617183020563346,587.2846436254287,676.5639534659704,2.7479001823541975
"SARIMA(2,1,3)(0,1,0)[12]",2,3,0,0,-251.67873070944535,-238.45057499309956,0.03655073468067134,0.5719676486046057,901.1162634317261,1003.2690428701125,4.3144513526039185
"SARIMA(1,1,3)(1,1,0)[12]",1,3,1,0,-251.23686089603854,-238.87420283276003,0.04423225365543367,0.5578434079110957,978.2065454448413,1076.331342686197,4.694081328142294
"SARIMA(3,1,0)(0,1,0)[12]",3,0,0,0,-251.04291171478098,-242.16488089407656,0.04773438068034664,0.6252015882662003,114.6339676863679,163.4914638277023,0.5537584524516548
"SARIMA(3,1,1)(0,1,1)[12]",3,1,0,1,-249.89840847482964,-237.64010086782233,0.017127478664911638,0.3361313008857789,474.26531908563373,561.2019126886105,2.194112722572865
"SARIMA(1,1,1)(1,1,1)[12]",1,1,1,1,-248.98417999440022,-238.76892365522747,0.06787423335363142,0.58875378013028,1190.9754089681426,1339.2632565327174,5.640705741797253
"SARIMA(0,1,2)(1,1,0)[12]",0,2,1,0,-248.8089159879732,-240.49876621235032,0.13853128885254548,0.8316578689272526,574.1749892378775,642.4865772919721,2.7311696454628094
"SARIMA(3,1,3)(0,1,1)[12]",3,3,0,1,-248.65062329589085,-232.59195781403108,0.003098053813202888,0.10004314789093698,766.9355645842024,877.3574206139549,3.6089085954177405
"SARIMA(2,1,2)(0,1,0)[12]",2,2,0,0,-248.56600199994887,-237.46846347406833,0.0384471896698448,0.5815612596940136,905.1999885721798,1007.5203787134361,4.357385454040258
"SARIMA(1,1,0)(0,1,0)[12]",1,0,0,0,-248.10628154940233,-243.6092910653036,0.03270001124358889,0.5487762517259929,111.75413568857061,159.54082972257135,0.5368585616743302
"SARIMA(1,1,2)(0,1,0)[12]",1,2,0,0,-247.36323089662417,-238.48520007591975,0.037434099753595566,0.5761355769344381,921.6776407864694,1021.6330577243003,4.434204575502617
"SARIMA(0,1,1)(1,1,0)[12]",0,1,1,0,-246.8772450621109,-240.64463273039374,0.08780132591568907,0.748175762734991,412.8316748381517,475.13792700954696,1.9465196186347264
"SARIMA(2,1,3)(1,1,0)[12]",2,3,1,0,-246.81967172952272,-232.51831285468086,0.01704333836093227,0.23617826923407917,997.0760509208513,1095.2238120714244,4.788018367230517
"SARIMA(1,1,3)(1,1,1)[12]",1,3,1,1,-246.53624422617156,-232.48491192954427,0.0055611840002738454,0.12528362009505709,1140.4602988473014,1273.3056872669565,5.41452685321574
"SARIMA(1,1,1)(1,1,0)[12]",1,1,1,0,-246.47844373468774,-238.23667169250206,0.10873745912743384,0.6609398840751866,1062.3224335300802,1162.0614517726117,5.114006719840852
"SARIMA(1,1,1)(0,1,0)[12]",1,1,0,0,-245.72782668873515,-239.02550717494336,0.024823897392681232,0.49565502709103615,109.33531797364678,160.28829507540982,0.5331951387912895
"SARIMA(0,1,3)(1,1,1)[12]",0,3,1,1,-245.71889398315346,-233.67489487175862,0.09385761957295943,0.7536931828800982,1126.223850131639,1260.9706523466243,5.341031921892042
"SARIMA(3,1,0)(1,1,1)[12]",3,0,1,1,-245.53706172706836,-233.38495158265746,0.007150335189742363,0.17069256021197057,868.0506972836721,980.0590622454696,4.095975162530792
"SARIMA(1,1,0)(1,1,1)[12]",1,0,1,1,-245.31821476825954,-237.07644272607385,0.02311092886585626,0.43946428195202064,995.7102926057587,1135.1633378330375,4.6913918837347754
"SARIMA(0,1,1)(1,1,1)[12]",0,1,1,1,-245.16181724778338,-236.98961217644518,0.09194989635623244,0.749826010713921,1028.4961393281299,1169.7620734376642,4.849319295983876
"SARIMA(1,1,2)(1,1,0)[12]",1,2,1,0,-244.82755392285068,-234.5253388701186,0.15660087887497492,0.7384910605261972,1080.740462819526,1181.0749645541891,5.201881159624225
"SARIMA(2,1,3)(1,1,1)[12]",2,3,1,1,-244.6434437275659,-228.58477824570613,0.0026264661785616265,0.0667401882159845,1153.9870676668302,1290.2867687570465,5.475143596479218
"SARIMA(0,1,2)(0,1,0)[12]",0,2,0,0,-244.57787890877725,-237.91935579324894,0.03900751561323262,0.5840861996894562,415.31142988088754,466.2498863438601,1.9778359877075233
"SARIMA(3,1,0)(1,1,0)[12]",3,0,1,0,-244.4580486207997,-234.33129016712394,0.009050966386948047,0.17248968717404445,426.01137767790715,486.08295983653034,2.009797818105338
"SARIMA(0,1,3)(0,1,1)[12]",0,3,0,1,-244.20943834191726,-234.1727724157549,0.038593936084587034,0.5833489036885879,1075.1541098392042,1195.2499938690485,5.13274589716309
"SARIMA(3,1,2)(0,1,1)[12]",3,2,0,1,-244.05274617588134,-229.87528434073528,0.010814620812225966,0.24407676008657989,478.9112249605878,561.9352688670255,2.2226190687524445
"SARIMA(0,1,1)(0,1,0)[12]",0,1,0,0,-243.93450397115018,-239.46629096195565,0.036663676957705206,0.5714551086971664,117.9699312820532,162.18787218980984,0.5589476185712176
"SARIMA(0,1,0)(0,1,0)[12]",0,0,0,0,-243.92089332825503,-241.67239808620567,0.0363393537031368,0.5696439468606416,109.40844580988771,159.09145799383595,0.5308503906313427
"SARIMA(3,1,1)(1,1,1)[12]",3,1,1,1,-243.83523465584483,-229.65777282069877,0.012445490559834023,0.2593776952307503,815.130607240982,924.1694196685672,3.837836063355486
"SARIMA(2,1,1)(0,1,0)[12]",2,1,0,0,-243.76316593250297,-234.82673991411394,0.030686693357326683,0.536618361482583,111.85332332886144,162.78720914302048,0.5467602840955956
"SARIMA(3,1,1)(1,1,0)[12]",3,1,1,0,-243.60922149577732,-231.45711135136642,0.02147190918275961,0.32882794827748235,385.89002570702854,449.0734984055801,1.8057656271941551
"SARIMA(2,1,0)(0,1,0)[12]",2,0,0,0,-243.26813402041785,-236.56581450662605,0.03325526868435438,0.5523238936921406,109.89693992420257,159.86133356445782,0.5362975159569974
"SARIMA(0,1,0)(1,1,1)[12]",0,0,1,1,-242.81016596473174,-236.6288369330925,0.13346955999601132,0.8119299647614726,995.095359752231,1135.1761351984042,4.681936014586904
"SARIMA(1,1,3)(0,1,1)[12]",1,3,0,1,-242.69824223605934,-230.6542431246645,0.02104417529871906,0.43292077411930013,600.0503751557441,682.289311454074,2.829257121824602
"SARIMA(3,1,2)(1,1,0)[12]",3,2,1,0,-242.59760439483944,-228.42014255969337,0.007601805447217498,0.15222650502992388,392.6575998233381,450.26604879626456,1.8487193357087175
"SARIMA(0,1,1)(0,1,1)[12]",0,1,0,1,-242.34996360906874,-236.2208098055651,0.039028631426659945,0.5847095367285566,591.7758300463418,681.9612060405526,2.774149753617976
"SARIMA(3,1,2)(1,1,1)[12]",3,2,1,1,-242.32316795533694,-226.12035442945574,0.03664410638778684,0.5051944920074405,825.9576425352867,948.1022436516279,3.8700122613580747
"SARIMA(3,1,3)(1,1,1)[12]",3,3,1,1,-241.90253632478755,-223.83653765769532,0.061054706583176944,0.6146877132489095,920.246200881916,1039.4115026461777,4.34252356168553
"SARIMA(1,1,2)(1,1,1)[12]",1,2,1,1,-241.85530089880288,-229.70319075439198,0.0851490321616967,0.6517139197262796,1196.9184285654565,1346.168330020043,5.66767535554822
"SARIMA(0,1,2)(1,1,1)[12]",0,2,1,1,-241.4523275976718,-231.32556914399606,0.13057543277115233,0.8094200836980876,1041.4859687858159,1189.3652873745157,4.901717206905609
"SARIMA(0,1,0)(1,1,0)[12]",0,0,1,0,-241.42068382467858,-237.26560893686712,0.1732501530038185,0.8665059721037279,508.7307923356964,576.387130193266,2.4093180488988812
"SARIMA(3,1,3)(1,1,0)[12]",3,3,1,0,-240.88704197427785,-224.68422844839665,0.015545179295453496,0.2864935601432633,346.97520472475435,405.128330927623,1.6262807003749862
"SARIMA(2,1,3)(0,1,1)[12]",2,3,0,1,-240.86060315359845,-226.80927085697115,0.00594282306002258,0.16619957266337548,626.242648028115,714.8784864968877,2.9471293683001343
"SARIMA(2,1,2)(1,1,1)[12]",2,2,1,1,-240.20039570186506,-226.02293386671903,0.03780308789241297,0.474714499602519,1168.6956377660215,1314.316691066355,5.537089409100071
"SARIMA(2,1,2)(1,1,0)[12]",2,2,1,0,-240.0043146422586,-227.7460070352513,0.05937435310790565,0.5356029680246299,1030.2619617576772,1129.5503045350733,4.958945604051418
"SARIMA(2,1,0)(1,1,1)[12]",2,0,1,1,-239.85292349411318,-229.63766715494043,0.03133015644642626,0.48059513690268885,1059.3895938096432,1202.1366878549209,5.000398164939421
"SARIMA(1,1,0)(0,1,1)[12]",1,0,0,1,-239.30776976357726,-233.126440731938,0.018126285876711102,0.39986371656682174,608.5078940019706,700.9091300908609,2.853083599461238
"SARIMA(1,1,0)(1,1,0)[12]",1,0,1,0,-238.12056691234972,-231.93923788071046,0.09198495935514579,0.6980435066006724,399.0432336793645,461.8879503102892,1.8782486812118317
"SARIMA(2,1,0)(0,1,1)[12]",2,0,0,1,-238.0731140165412,-229.83134197435552,0.018338459541500023,0.40231815453174913,619.7033291284833,713.7290765074648,2.9054374621497914
"SARIMA(2,1,1)(1,1,1)[12]",2,1,1,1,-237.84959305335144,-225.59128544634413,0.005739497368074232,0.15299448488644668,964.0094807288473,1099.910859851152,4.539271248356355
"SARIMA(0,1,0)(0,1,1)[12]",0,0,0,1,-237.52733584466358,-233.40644982357074,0.03676129768130666,0.5731315039501583,722.914333097845,839.1432980152099,3.375684679938376
"SARIMA(0,1,2)(0,1,1)[12]",0,2,0,1,-237.09844241736204,-228.99703565442144,0.03916262447432324,0.5857668573788186,700.1020787547313,804.0689964071468,3.284920533392826
"SARIMA(1,1,2)(0,1,1)[12]",1,2,0,1,-235.54837368584424,-225.4216152321685,0.03788829174257747,0.5612527693975065,761.1255931329393,872.2055398739213,3.574791092936411
"SARIMA(1,1,1)(0,1,1)[12]",1,1,0,1,-235.11204456851985,-226.93983949718165,0.0018469636314202879,0.0625247999708625,524.0146529211157,608.0753881912547,2.4504974270295232
"SARIMA(2,1,2)(0,1,1)[12]",2,2,0,1,-234.6245109489229,-222.472400804512,0.01752817238334977,0.352586050892946,672.1282998330812,766.2575675631881,3.166383681634958
"SARIMA(2,1,0)(1,1,0)[12]",2,0,1,0,-233.10118798689962,-224.92898291556142,0.18504930290498936,0.7885377761738812,471.12586320806025,535.9407370181232,2.2291577978167
"SARIMA(2,1,1)(0,1,1)[12]",2,1,0,1,-232.3942374198587,-222.17898108068596,0.0027782175445750634,0.09736088327478686,506.16434686734925,586.7690631066131,2.369183901185459
"SARIMA(2,1,1)(1,1,0)[12]",2,1,1,0,-232.36542402073056,-222.1501676815578,0.004609083379403603,0.07429957512350338,340.02125684393803,401.8800566345038,1.5915583436140368
